url,normalized_url,host,path,clicks,impressions,indexed_status,issue_type,last_crawled_if_available,page_type,location,service_intent,traffic_tier,action,target_url,reason,risk_level,notes
https://www.ewastekochi.com/blog/cable-recycling-options-in-kakkanad-which-to-choose-kakkanad,/blog/cable-recycling-options-in-kakkanad-which-to-choose-kakkanad,www.ewastekochi.com,/blog/cable-recycling-options-in-kakkanad-which-to-choose-kakkanad,0,4,404,404,2026-07-01,blog,,cable-recycling-options-in-kakkanad-which-to-choose-kakkanad,3,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
https://www.ewastekochi.com/blogs/disposal/corporate-e-waste-clearance-checklist-for-kottayam,/blogs/disposal/corporate-e-waste-clearance-checklist-for-kottayam,www.ewastekochi.com,/blogs/disposal/corporate-e-waste-clearance-checklist-for-kottayam,0,8,404,404,2026-07-01,blogs-taxonomy-legacy,,corporate-e-waste-clearance-checklist-for-kottayam,3,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
https://www.ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-thiruvananthapuram-what-changes-the-price-fast,/blogs/laptop-disposal/laptop-resale-value-in-thiruvananthapuram-what-changes-the-price-fast,www.ewastekochi.com,/blogs/laptop-disposal/laptop-resale-value-in-thiruvananthapuram-what-changes-the-price-fast,0,11,404,404,2026-07-01,blogs-taxonomy-legacy,,laptop-resale-value-in-thiruvananthapuram-what-changes-the-price-fast,3,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
https://www.ewastekochi.com/blog/kspcb-regulations-for-it-asset-disposition-in-thrippunithura-thrippunithura-1,/blog/kspcb-regulations-for-it-asset-disposition-in-thrippunithura-thrippunithura-1,www.ewastekochi.com,/blog/kspcb-regulations-for-it-asset-disposition-in-thrippunithura-thrippunithura-1,0,1,404,404,2026-07-01,blog,,kspcb-regulations-for-it-asset-disposition-in-thrippunithura-thrippunithura-1,3,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
https://www.ewastekochi.com/blogs/government-rules/how-to-choose-an-authorized-e-waste-vendor-in-kalamassery-kochi,/blogs/government-rules/how-to-choose-an-authorized-e-waste-vendor-in-kalamassery-kochi,www.ewastekochi.com,/blogs/government-rules/how-to-choose-an-authorized-e-waste-vendor-in-kalamassery-kochi,0,3,404,404,2026-07-01,blogs-taxonomy-legacy,,how-to-choose-an-authorized-e-waste-vendor-in-kalamassery-kochi,3,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
https://www.ewastekochi.com/blog/troubleshooting-server-recycling-in-kalamassery-kalamassery,/blog/troubleshooting-server-recycling-in-kalamassery-kalamassery,www.ewastekochi.com,/blog/troubleshooting-server-recycling-in-kalamassery-kalamassery,0,7,404,404,2026-07-01,blog,,troubleshooting-server-recycling-in-kalamassery-kalamassery,3,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
https://www.ewastekochi.com/blogs/environmental-impact/precious-metal-recovery-from-e-waste-in-edappally-kochi,/blogs/environmental-impact/precious-metal-recovery-from-e-waste-in-edappally-kochi,www.ewastekochi.com,/blogs/environmental-impact/precious-metal-recovery-from-e-waste-in-edappally-kochi,0,2,404,404,2026-07-01,blogs-taxonomy-legacy,,precious-metal-recovery-from-e-waste-in-edappally-kochi,3,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
https://www.ewastekochi.com/hi/services/laptop-buyback-kochi,/hi/services/laptop-buyback-kochi,www.ewastekochi.com,/hi/services/laptop-buyback-kochi,0,9,404,404,2026-06-30,hindi,,laptop-buyback-kochi,3,manual_review,,/hi/ Hindi pages — open scope question since Phase 2B (never confirmed as intentional multi-language scope; only Malayalam was ever briefed). Not auto-decided here.,low,classification_source=rule
https://www.ewastekochi.com/blogs/recycling/how-electronics-recycling-works-in-thiruvananthapuram,/blogs/recycling/how-electronics-recycling-works-in-thiruvananthapuram,www.ewastekochi.com,/blogs/recycling/how-electronics-recycling-works-in-thiruvananthapuram,0,65,404,404,2026-06-30,blogs-taxonomy-legacy,,how-electronics-recycling-works-in-thiruvananthapuram,2,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
https://www.ewastekochi.com/blog/battery-recycling-options-in-kochi-which-to-choose-kochi,/blog/battery-recycling-options-in-kochi-which-to-choose-kochi,www.ewastekochi.com,/blog/battery-recycling-options-in-kochi-which-to-choose-kochi,0,30,404,404,2026-06-30,blog,,battery-recycling-options-in-kochi-which-to-choose-kochi,2,leave_404,,"Legacy generated blog content, no meaningful traffic — do not recreate.",low,classification_source=rule
