source_url,source_path,target_url,status_before,action,reason,clicks,impressions
https://www.ewastekochi.com/index.html,/index.html,https://www.ewastekochi.com/,404_or_duplicate_200,redirect_301_308,Duplicate index.html should consolidate to canonical homepage.,0,0
https://www.ewastekochi.com/services/battery-recycling-kochi/,/services/battery-recycling-kochi/,https://www.ewastekochi.com/battery-recycling/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,0
https://www.ewastekochi.com/services/data-destruction-kochi/,/services/data-destruction-kochi/,https://www.ewastekochi.com/data-destruction/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,0
https://www.ewastekochi.com/services/itad-kochi/,/services/itad-kochi/,https://www.ewastekochi.com/itad/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,0
https://www.ewastekochi.com/locations/v2/kakkanad/,/locations/v2/kakkanad/,https://www.ewastekochi.com/locations/kakkanad/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,0
https://www.ewastekochi.com/e-waste-recycling/,/e-waste-recycling/,https://www.ewastekochi.com/recycling/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,11
https://www.ewastekochi.com/services/e-waste-recycling-kochi/,/services/e-waste-recycling-kochi/,https://www.ewastekochi.com/recycling/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,0
https://www.ewastekochi.com/data-destruction-services-kochi/,/data-destruction-services-kochi/,https://www.ewastekochi.com/data-destruction/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,16
https://www.ewastekochi.com/scrap-price/,/scrap-price/,https://www.ewastekochi.com/e-waste-scrap-prices-kochi/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,27
https://www.ewastekochi.com/free-e-waste-pickup-kochi/,/free-e-waste-pickup-kochi/,https://www.ewastekochi.com/blog/free-e-waste-pickup-kochi/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,0
https://www.ewastekochi.com/blog/sell-old-laptop-kochi-best-price/,/blog/sell-old-laptop-kochi-best-price/,https://www.ewastekochi.com/blog/sell-old-laptop-kochi/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,0
https://www.ewastekochi.com/locations/ernakulam/,/locations/ernakulam/,https://www.ewastekochi.com/locations/ernakulam-south/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,0
https://www.ewastekochi.com/locations/kalamassery-hitech-park/,/locations/kalamassery-hitech-park/,https://www.ewastekochi.com/locations/kalamassery/,404_or_duplicate_200,redirect_301_308,Trailing-slash twin of approved permanent legacy redirect; reduces crawl waste without adding pages.,0,25
